name,entry,basic_blocks,callees
sub_40b9c0,0x40b9c0,1,1
sub_40ba10,0x40ba10,1,1
sub_40ba30,0x40ba30,1,1
sub_40ba50,0x40ba50,1,1
sub_40ba70,0x40ba70,1,2
sub_40bb90,0x40bb90,1,1
sub_40bbb0,0x40bbb0,1,4
sub_40bc70,0x40bc70,1,1
sub_40bc90,0x40bc90,1,1
sub_40bcf0,0x40bcf0,1,1
sub_40bd10,0x40bd10,1,1
sub_40bd40,0x40bd40,1,1
sub_40bdc0,0x40bdc0,1,1
sub_40bdf0,0x40bdf0,1,1
sub_40be10,0x40be10,1,1
sub_40be30,0x40be30,1,1
sub_40be80,0x40be80,1,1
sub_40bf10,0x40bf10,1,1
sub_40bf30,0x40bf30,1,1
sub_40bf50,0x40bf50,1,1
sub_40bf80,0x40bf80,1,1
sub_40bfe0,0x40bfe0,1,3
sub_40c140,0x40c140,1,1
sub_40c160,0x40c160,1,1
sub_40c190,0x40c190,1,2
sub_40c1f0,0x40c1f0,1,1
sub_40c220,0x40c220,1,3
sub_40c420,0x40c420,1,1
sub_40c480,0x40c480,1,1
sub_40c4a0,0x40c4a0,1,1
sub_40c4c0,0x40c4c0,1,1
sub_40c530,0x40c530,1,1
sub_40c550,0x40c550,1,1
sub_40c570,0x40c570,1,1
sub_40c590,0x40c590,1,1
sub_40c5b0,0x40c5b0,1,1
sub_40c5d0,0x40c5d0,1,1
sub_40c5f0,0x40c5f0,1,1
sub_40c610,0x40c610,1,1
sub_40c630,0x40c630,1,2
sub_40c710,0x40c710,1,2
sub_40c7c0,0x40c7c0,1,1
sub_40c8f0,0x40c8f0,1,1
sub_40c920,0x40c920,1,2
sub_40c990,0x40c990,1,1
sub_40ca00,0x40ca00,1,1
sub_40ca40,0x40ca40,1,1
sub_40ca60,0x40ca60,1,1
sub_40ca90,0x40ca90,1,1
sub_40cac0,0x40cac0,1,6
sub_40cb90,0x40cb90,1,1
sub_40cbd0,0x40cbd0,1,1
sub_40cc50,0x40cc50,1,1
sub_40cc90,0x40cc90,1,1
sub_40ccb0,0x40ccb0,1,1
sub_40cd10,0x40cd10,1,1
sub_40cd30,0x40cd30,1,2
sub_40cda0,0x40cda0,1,1
sub_40cdc0,0x40cdc0,1,1
sub_40ce40,0x40ce40,1,1
sub_40ce70,0x40ce70,1,2
sub_40cf80,0x40cf80,1,1
sub_40cfb0,0x40cfb0,3,3
sub_40d020,0x40d020,3,3
sub_40d05c,0x40d05c,1,0
sub_40d0d0,0x40d0d0,1,1
sub_40d100,0x40d100,1,1
sub_40d180,0x40d180,8,1
sub_40d1e0,0x40d1e0,7,1
sub_40d230,0x40d230,30,1
sub_40d390,0x40d390,23,1
sub_40d480,0x40d480,3,0
sub_40d4a0,0x40d4a0,3,0
sub_40d4d0,0x40d4d0,1,0
sub_40d4e0,0x40d4e0,9,0
sub_40d530,0x40d530,5,0
sub_40d5b0,0x40d5b0,15,0
sub_40d620,0x40d620,7,1
sub_40d670,0x40d670,1,0
sub_40d680,0x40d680,1,0
sub_40d690,0x40d690,1,0
sub_40d6a0,0x40d6a0,1,0
sub_40d6b0,0x40d6b0,1,0
sub_40d6c0,0x40d6c0,15,1
sub_40d770,0x40d770,1,0
sub_40d780,0x40d780,8,1
sub_40d7e0,0x40d7e0,1,0
sub_40d7f0,0x40d7f0,1,0
sub_40d800,0x40d800,1,0
sub_40d810,0x40d810,8,1
sub_40d870,0x40d870,1,0
sub_40d880,0x40d880,9,1
sub_40d8f0,0x40d8f0,3,0
sub_40d910,0x40d910,8,1
sub_40d970,0x40d970,10,1
sub_40d9e0,0x40d9e0,1,0
sub_40d9f0,0x40d9f0,3,0
sub_40da10,0x40da10,7,1
sub_40da48,0x40da48,1,0
sub_40da60,0x40da60,10,1
sub_40dae0,0x40dae0,15,1
sub_40db70,0x40db70,1,0
sub_40db80,0x40db80,8,1
sub_40dbe0,0x40dbe0,8,1
sub_40dbec,0x40dbec,8,1
sub_40dc40,0x40dc40,8,2
sub_40dcb0,0x40dcb0,13,1
sub_40dd40,0x40dd40,7,1
sub_40ddb0,0x40ddb0,1,0
sub_40ddc0,0x40ddc0,8,1
sub_40de20,0x40de20,25,1
sub_40df30,0x40df30,1,0
sub_40df40,0x40df40,7,1
sub_40df90,0x40df90,9,1
sub_40e000,0x40e000,17,1
sub_40e090,0x40e090,1,0
sub_40e0a0,0x40e0a0,3,1
sub_40e0d0,0x40e0d0,8,1
sub_40e130,0x40e130,31,2
sub_40e250,0x40e250,1,0
sub_40e260,0x40e260,8,1
sub_40e26c,0x40e26c,8,1
sub_40e2c0,0x40e2c0,31,1
sub_40e3f0,0x40e3f0,15,1
sub_40e4a0,0x40e4a0,1,0
sub_40e4b0,0x40e4b0,3,0
sub_40e4d0,0x40e4d0,26,3
sub_40e5d0,0x40e5d0,1,0
sub_40e5e0,0x40e5e0,1,0
sub_40e5f0,0x40e5f0,1,0
sub_40e600,0x40e600,8,1
sub_40e690,0x40e690,1,0
sub_40e6a0,0x40e6a0,9,1
sub_40e720,0x40e720,10,1
sub_40e790,0x40e790,7,1
sub_40e800,0x40e800,1,1
sub_40e890,0x40e890,1,0
sub_40e8a0,0x40e8a0,14,0
sub_40e910,0x40e910,1,0
sub_40e920,0x40e920,1,0
sub_40e930,0x40e930,3,0
sub_40e950,0x40e950,5,0
sub_40e980,0x40e980,3,0
sub_40e9a0,0x40e9a0,1,0
sub_40e9b0,0x40e9b0,9,2
sub_40ea2c,0x40ea2c,1,0
sub_40ea60,0x40ea60,7,1
sub_40eab0,0x40eab0,7,1
sub_40eb00,0x40eb00,8,1
sub_40eb60,0x40eb60,8,1
sub_40ebc0,0x40ebc0,23,2
sub_40eca0,0x40eca0,8,1
sub_40ed00,0x40ed00,1,0
sub_40ed10,0x40ed10,1,0
sub_40ed20,0x40ed20,1,0
sub_40ed30,0x40ed30,8,1
sub_40ed90,0x40ed90,1,0
sub_40eda0,0x40eda0,8,1
sub_40ee00,0x40ee00,3,0
sub_40ee20,0x40ee20,8,1
sub_40ee80,0x40ee80,7,1
sub_40eed0,0x40eed0,27,2
sub_40efd0,0x40efd0,1,0
sub_40efe0,0x40efe0,17,1
sub_40f0b0,0x40f0b0,1,0
sub_40f0c0,0x40f0c0,7,1
sub_40f110,0x40f110,7,1
sub_40f160,0x40f160,26,1
sub_40f260,0x40f260,20,1
sub_40f330,0x40f330,8,1
sub_40f380,0x40f380,3,0
sub_40f3a0,0x40f3a0,4,0
sub_40f3c0,0x40f3c0,8,0
sub_40f413,0x40f413,1,0
sub_40f420,0x40f420,3,2
sub_40f450,0x40f450,3,2
sub_40f480,0x40f480,3,2
sub_40f4b0,0x40f4b0,3,2
sub_40f4e0,0x40f4e0,3,2
